SMILES,MW,HBA,HBD,nRot,nRing,nHet,fChar,TPSA,LogP,StereoCenters,hERG pIC50
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,461.5560000000001,3,1,7,5,6,0,41.03,5.8570000000000055,0,7.629417896270752
O=C(NCCCN1CCN(c2cccc(F)c2)CC1)c1ccc2ccccc2c1C1CC1,431.55500000000023,3,1,7,5,5,0,35.580000000000005,4.798400000000004,0,5.6232991218566895
O=c1cc2c(-c3ccc(F)cc3)cn(CCCCN3CCc4ccccc4C3)c2c[nH]1,415.51200000000017,3,1,6,5,5,0,41.03,4.974200000000004,0,5.911098480224609
S=C(NCc1ccccc1C1CC1)C1(c2ccc(Cn3ccnc3)c(Cl)c2)CC1,421.9970000000002,3,1,7,5,5,0,29.85,5.611000000000004,0,5.17854118347168
O=c1c(C2=CCN(c3cc(F)ccc3F)CC2)cccn1CC1(C(CO)C2CC2)CCC1,440.5340000000003,4,1,7,5,6,0,45.47,4.609000000000004,1,5.4937334060668945
O=C1Nc2ccccc2C(CN2CCC2)(c2ccc(F)cc2)CCN1CCC1CCCC1,435.5870000000003,2,1,6,5,5,0,35.580000000000005,5.635400000000006,1,5.520788192749023
O=C(NCc1ccc(F)c(-c2ccc3c(c2)CCO3)c1)C1CCN(CCC2CC2)CC1,422.5440000000003,3,1,7,5,5,0,41.57,4.555900000000004,0,5.34768009185791
Cl.Clc1ccc(-c2ccc3[nH]cc(CCCCN4CCOCC4)c3c2)cc1,405.36900000000026,2,1,6,4,5,0,28.26,5.565000000000006,0,5.990530967712402
O=C(Cc1ccc(F)cc1)Nc1ccc(-c2ccc(OC3CCN(C4CC4)CC3)cc2)cc1,444.5500000000003,3,1,7,5,5,0,41.57,5.679500000000004,0,5.615628242492676
Clc1ccc(N2CCC(CCOCC34CC(C3)N(C3CC3)C4)CC2)cc1Cl,409.4010000000002,3,0,7,6,5,0,15.71,5.243300000000005,0,5.5112457275390625
CN1CCC(COc2ccc(Cc3n[nH]c4ccccc34)c(F)c2Cc2ccccc2)CC1,443.56600000000026,3,1,7,5,5,0,41.15,5.604200000000005,0,5.886216163635254
Fc1cccc(N2CCN(CC[C@H](Oc3cccc4[nH]ccc34)c3ccccc3)CC2)c1,429.53900000000016,3,1,7,5,5,0,31.5,5.639400000000006,1,5.757017612457275
O=C(Nc1ccc(F)cc1)N1CCC(CCCN2CCC(c3ccccc3)CC2)CC1,423.57600000000025,2,1,6,4,5,0,35.580000000000005,5.729400000000006,0,5.77305269241333
O=C1NCc2c1cc(OCCCN1CCC3(CCCCC3)CC1)cc2-c1ccc(F)cc1,436.5710000000002,3,1,6,5,5,0,41.57,5.551300000000006,0,5.9048261642456055
O=C(CCc1ccn(Cc2cc(F)ccc2F)c1)NC1(c2ccccc2)CCC1,394.46500000000015,2,1,7,4,5,0,34.03,4.9428000000000045,0,5.418093681335449
Fc1ccc(CC2(c3c[nH]c4ccc(F)cc34)CCN(Cc3ccccn3)CC2)cc1,417.50300000000016,2,1,5,5,5,0,31.92,5.617600000000005,0,5.896603584289551
Fc1ccc(F)c(-c2cccc(CC3(CCNC4(Cc5ccccc5)CC4)COC3)n2)c1,434.53000000000026,3,1,9,5,5,0,34.15,5.340900000000005,0,5.4355244636535645
O=C(NCc1ccccc1F)c1ccc2c(ccn2CC2CCN(Cc3ccccc3)CC2)c1,455.5770000000003,3,1,7,5,5,0,37.27,5.622600000000006,0,5.892678260803223
O=C(NCCN1CCC(c2ccc(C3CC3)cc2)CC1)C1(c2cccc(F)c2)CC1,406.54500000000024,2,1,7,5,4,0,32.34,4.730500000000005,0,5.901242733001709
C=CC1CN(CCc2c[nH]c3ccccc23)CCN1Cc1ccccc1OC.Cl,411.97700000000015,3,1,7,4,5,0,31.500000000000004,4.513200000000005,1,5.559201717376709
CC(F)(F)c1cccc(CN2CCC(C(=O)NCc3cccnc3C3CC3)CC2)c1,413.51200000000017,3,1,7,4,6,0,45.230000000000004,4.5991000000000035,0,5.419703960418701
Fc1ccc(C2(NCCC(F)(Cn3cnc4ccccc43)c3ccccc3)CC2)cc1,417.50300000000016,3,1,8,5,5,0,29.85,5.709400000000005,1,5.849140167236328
Fc1ccc(-c2cccnc2OC2CCN(CCCc3c[nH]c4ccccc34)CC2)cc1,429.53900000000016,3,1,7,5,5,0,41.15,5.845000000000005,0,5.530693054199219
O=C(NCC1(c2ccccc2)CCN(Cc2ccccc2)CC1)c1ccnc2ccc(F)cc12,453.56100000000015,3,1,6,5,5,0,45.230000000000004,5.337700000000005,0,5.548331260681152
O=C(CC1CC1)N1CCC(C(NCc2ccc(-c3ccc(F)cc3)c(F)c2)C2CC2)CC1,438.56200000000024,2,1,8,5,5,0,32.34,5.538700000000006,1,5.348383903503418
O=C(NCCCN1CCC(c2ccc(Cl)cc2)CC1)c1ccc2sccc2c1,412.9860000000002,3,1,6,4,5,0,32.34,5.554200000000005,0,5.906235694885254
Cn1c(C2CCCC2)nc2cc(CCC(=O)NCC3(F)CCN(Cc4ccccc4)C3)ccc21,462.6130000000002,4,1,8,5,6,0,50.160000000000004,4.893900000000005,1,5.733978271484375
O=C(NCC1(N2CCC(Cc3ccc(F)cc3)CC2)CC1)c1ccc(-c2cccs2)nc1,449.5950000000002,4,1,7,5,6,0,45.230000000000004,5.166300000000005,0,5.845897674560547
O=C(NCCCN1CCC2(COC2)C1)C(F)(F)c1ccccc1-c1ccc2ccccc2c1,450.5290000000001,3,1,7,5,6,0,41.57000000000001,4.827200000000005,0,5.9923014640808105
O=C(NC1CCC1)c1ccc(N2CC(N(Cc3ccccc3)C3CC3)C2)c(F)c1,393.50600000000014,3,1,7,5,5,0,35.580000000000005,3.9612000000000034,0,5.292359352111816
COc1ccccc1N1CCC(CCCN2CCc3[nH]c(=S)ccc32)CC1.Cl,420.022,4,1,6,4,6,0,31.5,5.233890000000006,0,5.268742084503174
OC(=NC1CC1)C1CCN(CCc2cn(Cc3ccc(F)cc3)c3ccccc23)CC1,419.54400000000015,3,1,7,5,5,0,40.760000000000005,5.202100000000006,0,5.646453380584717
Cl.Fc1cc2[nH]c(CC3(c4ccccc4)CCOCC3)cc2cc1OCC1CC1,415.93600000000026,2,1,6,5,5,0,34.25,5.808500000000004,0,5.04843807220459
Cc1ccccc1CCOc1ccc2[nH]cc(C(F)(F)CN3CCc4ccccc43)c2n1,433.50200000000024,3,1,7,5,6,0,41.15,5.647320000000004,0,5.797364234924316
O=C(NCC1(c2cccc(CN3CCC(C4CC4)CC3)n2)CC1)c1ccc(F)cc1,407.53300000000013,3,1,7,5,5,0,45.230000000000004,4.304300000000004,0,5.625171184539795
Fc1ccc(CN2CCN(C(c3cccnc3)c3c[nH]c4ccccc34)CC2)cc1,400.5010000000002,3,1,5,5,5,0,35.16,4.609200000000004,1,5.480950355529785
O=C(NC1(c2ccc(N(Cc3cccs3)C3CC3)cc2)CCC1)c1cccc(F)c1,420.55300000000017,3,1,7,5,5,0,32.34,5.865400000000005,0,5.854517459869385
O=C(NC1CCCC1)C(c1ccccc1F)c1cc2c(n1Cc1cccc(F)c1)CCC2,434.5300000000003,2,1,6,5,5,0,34.03,5.494000000000005,1,5.362191200256348
O=C(Nc1ccccc1F)N1CCC(CCCN2CCc3c(C4CC4)cccc32)CC1,421.56000000000023,2,1,6,5,5,0,35.580000000000005,5.7899000000000065,0,5.116153240203857
O=C(Nc1cc(C2CCCC2)ncc1F)C1(c2ccccc2)CCN(Cc2ccccc2)CC1,457.59300000000025,3,1,6,5,5,0,45.230000000000004,6.050800000000006,0,5.952633857727051
Fc1cccc(CCCN2CCC(Nc3ccc4c(c3)OCO4)(c3ccccc3)C2)c1F,436.5020000000002,4,1,7,5,6,0,33.730000000000004,5.339400000000005,1,5.951533317565918
CN(CCC1(c2ccccc2)CC1)CC1CCN(c2nc3ccc(F)cc3[nH]2)CC1,406.5490000000001,3,1,7,5,5,0,35.16,4.972100000000005,0,5.714831352233887
O=C1NC(=S)C(c2ccccc2)(c2ccccc2F)CCN1Cc1ccccc1,404.5100000000002,2,1,4,4,5,0,32.34,5.054700000000004,1,4.980991363525391
CN(CCC1(F)CCCCC1)Cc1ccc(N2C(=O)CNC3(CC3)C23CCC3)cc1,413.5810000000003,3,1,6,5,5,0,35.58,4.5724000000000045,0,5.390437126159668
O=c1[nH]c(-c2ccc(F)c(OCCCN3CCCc4ccccc43)c2)cc2ccc(F)cc12,446.49700000000007,3,1,6,5,6,0,45.330000000000005,5.695000000000005,0,5.669338226318359
O=C(NCCCN1c2ccccc2CC12CC2)c1ccc(-c2cc(F)ccc2F)cc1,418.4870000000001,2,1,6,5,5,0,32.34,5.347000000000005,0,5.7599687576293945
Fc1ccccc1C[C@H]1CC[C@@H](N2CCN(Cc3c[nH]nc3-c3ccccc3)CC2)CC1,432.58700000000016,3,1,6,5,5,0,35.16,5.1349000000000045,0,5.561284065246582
